state,offer,acres,cost
illinois,64,25429.67106,1627498.948
illinois,80,27941.50589,2235320.471
illinois,84,28595.2648,2402002.243
illinois,90,29595.42508,2663588.257
illinois,127,36282.93749,4607933.062
illinois,161,43214.63654,6957556.483
illinois,167,44514.68546,7433952.473
illinois,180,47408.62969,8533553.345
illinois,254,65746.12541,16699515.85
illinois,322,84842.19629,27319187.21
illinois,334,88363.98908,29513572.35
illinois,360,96090.03426,34592412.33
illinois,381,102389.2482,39010303.55
illinois,483,132540.0358,64016837.28
illinois,501,137596.3714,68935782.05
illinois,540,148085.4873,79966163.14
indiana,64,14059.56819,899812.364
indiana,80,15422.50538,1233800.43
indiana,84,15776.79883,1325251.102
indiana,90,16318.44324,1468659.892
indiana,127,19930.05125,2531116.509
indiana,161,23656.58535,3808710.242
indiana,167,24353.73215,4067073.269
indiana,180,25903.70312,4662666.562
indiana,254,35669.34708,9060014.159
indiana,322,45747.42857,14730672
indiana,334,47596.67984,15897291.07
indiana,360,51643.64641,18591712.71
indiana,381,54933.31264,20929592.12
indiana,483,70556.45744,34078768.94
indiana,501,73156.23905,36651275.76
indiana,540,78529.79913,42406091.53
michigan,64,5930.714343,379565.7179
michigan,80,6490.675843,519254.0675
michigan,84,6635.976162,557421.9976
michigan,90,6857.924538,617213.2085
michigan,127,8332.078035,1058173.91
michigan,161,9843.607737,1584820.846
michigan,167,10125.39042,1690940.2
michigan,180,10750.81779,1935147.202
michigan,254,14660.40551,3723743
michigan,322,18644.84789,6003641.019
michigan,334,19370.83829,6469859.989
michigan,360,20954.26628,7543535.862
michigan,381,22236.02647,8471926.083
michigan,483,28257.88099,13648556.52
michigan,501,29249.21519,14653856.81
michigan,540,31287.95642,16895496.46
ohio,64,10307.9008,659705.6512
ohio,80,11312.02537,904962.0298
ohio,84,11573.13667,972143.4805
ohio,90,11972.38664,1077514.797
ohio,127,14636.45457,1858829.73
ohio,161,17388.52291,2799552.188
ohio,167,17903.71199,2989919.902
ohio,180,19049.48384,3428907.092
ohio,254,26279.12866,6674898.679
ohio,322,33757.54355,10869929.02
ohio,334,35131.57105,11733944.73
ohio,360,38140.46057,13730565.81
ohio,381,40588.19891,15464103.78
ohio,483,52236.42492,25230193.24
ohio,501,54178.64526,27143501.28
ohio,540,58196.86123,31426305.06
